annotation	node
a00001706	18052
a00001707	18053
a00001708	18054
a00001709	18055
a00001710	18056
a00001711	18057
a00001712	18058
a00001713	18059
a00001714	18060
a00001715	18061
a00001716	18062
a00001717	18063
a00001718	18064
a00001719	18065
a00000233	18066
a00000234	18067
a00000235	18068
a00000236	18069
a00000237	18070
a00000238	18071
a00000239	18072
a00000240	18073
a00000241	18074
a00000242	18075
a00000243	18076
a00000244	18077
a00000245	18078
a00000246	18079
a00000247	18080
a00000248	18081
a00000249	18082
a00000250	18083
a00000251	18084
a00000252	18085
a00000253	18086
a00000254	18087
a00000255	18088
a00000256	18089
a00000257	18090
a00000258	18091
a00000259	18092
a00000260	18093
a00000261	18094
a00000262	18095
a00000263	18096
a00000264	18097
a00000265	18098
a00000266	18099
a00000267	18100
a00000268	18101
a00000269	18102
a00000270	18103
a00000271	18104
a00000272	18105
a00000273	18106
a00000274	18107
a00000275	18108
a00000276	18109
a00000277	18110
a00000278	18111
a00000279	18112
a00000280	18113
a00000281	18114
a00000282	18115
a00000283	18116
a00000284	18117
a00000285	18118
a00000286	18119
a00000287	18120
a00000288	18121
a00000289	18122
a00000290	18123
a00000291	18124
a00000292	18125
a00000293	18126
a00000294	18127
a00000295	18128
a00000296	18129
a00000297	18130
a00000298	18131
a00000299	18132
a00000300	18133
a00000301	18134
a00000302	18135
a00000303	18136
a00000304	18137
a00000305	18138
a00000306	18139
a00000307	18140
a00000308	18141
a00000309	18142
a00000310	18143
a00000311	18144
a00000312	18145
a00000313	18146
a00000314	18147
a00000315	18148
a00000316	18149
a00000317	18150
a00000318	18151
a00000319	18152
a00000320	18153
a00000321	18154
a00000322	18155
a00000323	18156
a00000324	18157
a00000325	18158
a00000326	18159
a00000327	18160
a00000328	18161
a00000329	18162
a00000330	18163
a00000331	18164
a00000332	18165
a00000333	18166
a00000334	18167
a00000335	18168
a00000336	18169
a00000337	18170
a00000338	18171
a00000339	18172
a00000340	18173
a00000341	18174
a00000342	18175
a00000343	18176
a00000344	18177
a00000345	18178
a00000346	18179
a00000347	18180
a00000348	18181
a00000349	18182
a00000350	18183
a00000351	18184
a00000352	18185
a00000353	18186
a00000354	18187
a00000355	18188
a00000356	18189
a00000357	18190
a00000358	18191
a00000359	18192
a00000360	18193
a00000361	18194
a00000362	18195
a00000363	18196
a00000364	18197
a00000365	18198
a00000366	18199
a00000367	18200
a00000368	18201
a00000369	18202
a00000370	18203
a00000371	18204
