layoutDesc	complex	pure
lb	-----	pure
lbl	complex	mixed
leaf	complex	pure
lem	complex	mixed
lg	-----	pure
licence	-----	pure
line	-----	pure
link	complex	pure
linkGrp	complex	pure
list	-----	pure
listAnnotation	-----	pure
listApp	complex	pure
listBibl	complex	pure
listChange	-----	pure
listEvent	complex	pure
listForest	complex	pure
listNym	complex	pure
listObject	complex	pure
listOrg	complex	pure
listPerson	complex	pure
listPlace	complex	pure
listPrefixDef	-----	pure
listRef	complex	pure
listRelation	complex	pure
listTranspose	-----	pure
listWit	complex	pure
localProp	-----	pure
locale	complex	mixed
location	-----	pure
locus	complex	mixed
locusGrp	complex	pure
m	complex	mixed
macroRef	complex	pure
macroSpec	complex	pure
mapping	-----	pure
material	complex	mixed
measure	complex	mixed
measureGrp	complex	mixed
media	-----	pure
meeting	complex	mixed
memberOf	complex	mixed
mentioned	complex	mixed
metDecl	complex	pure
metSym	complex	mixed
metamark	-----	pure
milestone	-----	pure
mod	-----	pure
model	complex	pure
modelGrp	complex	pure
modelSequence	complex	pure
moduleRef	complex	pure
moduleSpec	complex	pure
monogr	complex	pure
mood	complex	mixed
move	complex	pure
msContents	-----	pure
msDesc	-----	pure
msFrag	-----	pure
msIdentifier	-----	pure
msItem	complex	pure
msItemStruct	complex	pure
msName	complex	mixed
msPart	complex	pure
musicNotation	complex	mixed
name	-----	pure
nameLink	complex	mixed
namespace	complex	pure
nationality	complex	mixed
node	complex	pure
normalization	-----	pure
notatedMusic	-----	pure
note	-----	pure
noteGrp	-----	pure
notesStmt	-----	pure
num	-----	pure
number	complex	mixed
numeric	complex	pure
nym	complex	pure
oRef	complex	mixed
object	complex	pure
objectDesc	-----	pure
objectIdentifier	complex	pure
objectName	complex	mixed
objectType	complex	mixed
occupation	complex	mixed
offset	complex	mixed
opener	-----	pure
org	complex	pure
orgName	complex	mixed
orig	-----	pure
origDate	complex	mixed
origPlace	complex	mixed
origin	complex	mixed
orth	complex	mixed
outputRendition	complex	mixed
p	-----	pure
pRef	complex	mixed
param	complex	pure
paramList	complex	pure
paramSpec	complex	pure
particDesc	complex	pure
path	-----	pure
pause	complex	pure
pb	-----	pure
pc	complex	mixed
per	complex	mixed
performance	complex	pure
persName	complex	mixed
persPronouns	-----	pure
person	complex	pure
personGrp	complex	pure
persona	complex	pure
phr	complex	mixed
physDesc	-----	pure
place	complex	pure
placeName	-----	pure
population	complex	pure
pos	complex	mixed
postBox	complex	mixed
postCode	complex	mixed
postscript	-----	pure
precision	complex	pure
prefixDef	-----	pure
preparedness	complex	mixed
principal	-----	pure
profileDesc	-----	pure
projectDesc	-----	pure
prologue	complex	pure
pron	complex	mixed
provenance	complex	mixed
ptr	-----	pure
