langKnown	complex	mixed
langUsage	complex	pure
language	complex	mixed
layout	complex	mixed
layoutDesc	complex	pure
lb	complex	pure
lbl	complex	mixed
leaf	complex	pure
lem	complex	mixed
lg	complex	pure
licence	complex	mixed
line	complex	mixed
link	complex	pure
linkGrp	complex	pure
list	complex	pure
listAnnotation	complex	pure
listApp	complex	pure
listBibl	complex	pure
listChange	complex	pure
listEvent	complex	pure
listForest	complex	pure
listNym	complex	pure
listObject	complex	pure
listOrg	complex	pure
listPerson	complex	pure
listPlace	complex	pure
listPrefixDef	complex	pure
listRef	complex	pure
listRelation	complex	pure
listTranspose	complex	pure
listWit	complex	pure
localProp	complex	pure
locale	complex	mixed
location	complex	pure
locus	complex	mixed
locusGrp	complex	pure
m	complex	mixed
macroRef	complex	pure
macroSpec	complex	pure
mapping	complex	mixed
material	complex	mixed
measure	complex	mixed
measureGrp	complex	mixed
media	complex	pure
meeting	complex	mixed
memberOf	complex	mixed
mentioned	complex	mixed
metDecl	complex	pure
metSym	complex	mixed
metamark	complex	mixed
milestone	complex	pure
mod	complex	mixed
model	complex	pure
modelGrp	complex	pure
modelSequence	complex	pure
moduleRef	complex	pure
moduleSpec	complex	pure
monogr	complex	pure
mood	complex	mixed
move	complex	pure
msContents	complex	pure
msDesc	complex	pure
msFrag	complex	pure
msIdentifier	complex	pure
msItem	complex	pure
msItemStruct	complex	pure
msName	complex	mixed
msPart	complex	pure
musicNotation	complex	mixed
name	complex	mixed
nameLink	complex	mixed
namespace	complex	pure
nationality	complex	mixed
node	complex	pure
normalization	complex	pure
notatedMusic	complex	pure
note	complex	mixed
noteGrp	complex	pure
notesStmt	complex	pure
num	complex	mixed
number	complex	mixed
numeric	complex	pure
nym	complex	pure
oRef	complex	mixed
object	complex	pure
objectDesc	complex	pure
objectIdentifier	complex	pure
objectName	complex	mixed
objectType	complex	mixed
occupation	complex	mixed
offset	complex	mixed
opener	complex	mixed
org	complex	pure
orgName	complex	mixed
orig	complex	mixed
origDate	complex	mixed
origPlace	complex	mixed
origin	complex	mixed
orth	complex	mixed
outputRendition	complex	mixed
p	complex	mixed
pRef	complex	mixed
param	complex	pure
paramList	complex	pure
paramSpec	complex	pure
particDesc	complex	pure
path	complex	pure
pause	complex	pure
pb	complex	pure
pc	complex	mixed
per	complex	mixed
performance	complex	pure
persName	complex	mixed
persPronouns	complex	mixed
person	complex	pure
personGrp	complex	pure
persona	complex	pure
phr	complex	mixed
physDesc	complex	pure
place	complex	pure
placeName	complex	mixed
population	complex	pure
pos	complex	mixed
postBox	complex	mixed
postCode	complex	mixed
postscript	complex	pure
precision	complex	pure
prefixDef	complex	pure
