annotation	node
a00001720	17700
a00001721	17701
a00002305	17702
a00002267	17703
a00002268	17704
a00002269	17705
a00002270	17706
a00002271	17707
a00002272	17708
a00002273	17709
a00002274	17710
a00001511	17711
a00001512	17712
a00001513	17713
a00001514	17714
a00001515	17715
a00001516	17716
a00001027	17717
a00001028	17718
a00001029	17719
a00001030	17720
a00002306	17721
a00002307	17722
a00002308	17723
a00002309	17724
a00002310	17725
a00002311	17726
a00002312	17727
a00002313	17728
a00002314	17729
a00002315	17730
a00002316	17731
a00002317	17732
a00002318	17733
a00002319	17734
a00002320	17735
a00002321	17736
a00002322	17737
a00002323	17738
a00002324	17739
a00002325	17740
a00002326	17741
a00002327	17742
a00002328	17743
a00002329	17744
a00002330	17745
a00002331	17746
a00002332	17747
a00002333	17748
a00000789	17749
a00000790	17750
a00000791	17751
a00000792	17752
a00000793	17753
a00000794	17754
a00000795	17755
a00000796	17756
a00000797	17757
a00000798	17758
a00000067	17759
a00001647	17760
a00000815	17761
a00000816	17762
a00000817	17763
a00000818	17764
a00000819	17765
a00000820	17766
a00000821	17767
a00000822	17768
a00000823	17769
a00000824	17770
a00000825	17771
a00000826	17772
a00000827	17773
a00000828	17774
a00000829	17775
a00000830	17776
a00000831	17777
a00000832	17778
a00000833	17779
a00000834	17780
a00000835	17781
a00000836	17782
a00000837	17783
a00000838	17784
a00000839	17785
a00000840	17786
a00000841	17787
a00000842	17788
a00000843	17789
a00000844	17790
a00000845	17791
a00000846	17792
a00000847	17793
a00000848	17794
a00000849	17795
a00000850	17796
a00000851	17797
a00000852	17798
a00000853	17799
a00000854	17800
a00000855	17801
a00000856	17802
a00000857	17803
a00000858	17804
a00000859	17805
a00000860	17806
a00000861	17807
a00000862	17808
a00000863	17809
a00000864	17810
a00000865	17811
a00000866	17812
a00000867	17813
a00000868	17814
a00000869	17815
a00000870	17816
a00000871	17817
a00000872	17818
a00000873	17819
a00000874	17820
a00000875	17821
a00000876	17822
a00000877	17823
a00000878	17824
a00000879	17825
a00000880	17826
a00000881	17827
a00000882	17828
a00000883	17829
a00000884	17830
a00000885	17831
a00000886	17832
a00000887	17833
a00000888	17834
a00000889	17835
a00000890	17836
a00000891	17837
a00000892	17838
a00000893	17839
a00000894	17840
